Voltage ID,Volt J Coordinate,Temp ID,Temp J Coordinate
1(-) DC,"(J2, 0, 0)",Stack 1 Side 1,"(J3, 0, 0)"
1(-),"(J2, 1, 0)",1,"(J3, 0, 1)"
1,"(J3, 2, 0)",2,"(J3, 0, 2)"
2,"(J2, 0, 1)",3,"(J3, 0, 3)"
3,"(J3, 1, 0)",4,"(J3, 0, 4)"
4,"(J2, 1, 1)",5,"(J3, 0, 5)"
5,"(J3, 2, 1)",Stack 1 Side 2,"(J2, 2, 0)"
6,"(J2, 0, 2)",6,"(J2, 2, 1)"
7,"(J3, 1, 1)",7,"(J2, 2, 2)"
8,"(J2, 1, 2)",8,"(J2, 2, 3)"
9,"(J3, 2, 2)",9,"(J2, 2, 4)"
10,"(J2, 0, 3)",10,"(J2, 2, 5)"
11,"(J3, 1, 2)",Stack 2 Side 1,"(J5, 0, 0)"
12,"(J2, 1, 3)",11,"(J5, 0, 1)"
13,"(J3, 2, 3)",12,"(J5, 0, 2)"
14,"(J2, 0, 4)",13,"(J5, 0, 3)"
15,"(J3, 1, 3)",14,"(J5, 0, 4)"
16,"(J2, 1, 4)",15,"(J5, 0, 5)"
17,"(J3, 2, 4)",Stack 2 Side 2,"(J4, 2, 0)"
18,"(J2, 0, 5)",16,"(J4, 2, 1)"
19,"(J3, 1, 4)",17,"(J4, 2, 2)"
21(-),"(J4, 1, 0)",18,"(J4, 2, 3)"
21,"(J5, 2, 0)",19,"(J4, 2, 4)"
22,"(J4, 0, 1)",20,"(J4, 2, 5)"
23,"(J5, 1, 0)",Stack 3 Side 1,"(J7, 0, 0)"
24,"(J4, 1, 1)",21,"(J7, 0, 1)"
25,"(J5, 2, 1)",22,"(J7, 0, 2)"
26,"(J4, 0, 2)",23,"(J7, 0, 3)"
27,"(J5, 1, 1)",24,"(J7, 0, 4)"
28,"(J4, 1, 2)",25,"(J7, 0, 5)"
29,"(J5, 2, 2)",Stack 3 Side 2,"(J6, 2, 0)"
30,"(J4, 0, 3)",26,"(J6, 2, 1)"
31,"(J5, 1, 2)",27,"(J6, 2, 2)"
32,"(J4, 1, 3)",28,"(J6, 2, 3)"
33,"(J5, 2, 3)",29,"(J6, 2, 4)"
34,"(J4, 0, 4)",30,"(J6, 2, 5)"
35,"(J5, 1, 3)",Stack 4 Side 1,"(J9, 0, 0)"
36,"(J4, 1, 4)",31,"(J9, 0, 1)"
37,"(J5, 2, 4)",32,"(J9, 0, 2)"
38,"(J4, 0, 5)",33,"(J9, 0, 3)"
39,"(J5, 1, 4)",34,"(J9, 0, 4)"
41(-),"(J6, 1, 0)",35,"(J9, 0, 5)"
41,"(J7, 2, 0)",Stack 4 Side 2,"(J8, 2, 0)"
42,"(J6, 0, 1)",36,"(J8, 2, 1)"
43,"(J7, 1, 0)",37,"(J8, 2, 2)"
44,"(J6, 1, 1)",38,"(J8, 2, 3)"
45,"(J7, 2, 1)",39,"(J8, 2, 4)"
46,"(J6, 0, 2)",40,"(J8, 2, 5)"
47,"(J7, 1, 1)",Stack 5 Side 1,"(J11, 0, 0)"
48,"(J6, 1, 2)",41,"(J11, 0, 1)"
49,"(J7, 2, 2)",42,"(J11, 0, 2)"
50,"(J6, 0, 3)",43,"(J11, 0, 3)"
51,"(J7, 1, 2)",44,"(J11, 0, 4)"
52,"(J6, 1, 3)",45,"(J11, 0, 5)"
53,"(J7, 2, 3)",Stack 5 Side 2,"(J10, 2, 0)"
54,"(J6, 0, 4)",46,"(J10, 2, 1)"
55,"(J7, 1, 3)",47,"(J10, 2, 2)"
56,"(J6, 1, 4)",48,"(J10, 2, 3)"
57,"(J7, 2, 4)",49,"(J10, 2, 4)"
58,"(J6, 0, 5)",50,"(J10, 2, 5)"
59,"(J7, 1, 4)",,
61(-),"(J8, 1, 0)",,
61,"(J9, 2, 0)",,
62,"(J8, 0, 1)",,
63,"(J9, 1, 0)",,
64,"(J8, 1, 1)",,
65,"(J9, 2, 1)",,
66,"(J8, 0, 2)",,
67,"(J9, 1, 1)",,
68,"(J8, 1, 2)",,
69,"(J9, 2, 2)",,
70,"(J8, 0, 3)",,
71,"(J9, 1, 2)",,
72,"(J8, 1, 3)",,
73,"(J9, 2, 3)",,
74,"(J8, 0, 4)",,
75,"(J9, 1, 3)",,
76,"(J8, 1, 4)",,
77,"(J9, 2, 4)",,
78,"(J8, 0, 5)",,
79,"(J9, 1, 4)",,
80,"(J11, 2, 0)",,
81,"(J10, 0, 1)",,
82,"(J11, 1, 0)",,
83,"(J10, 1, 1)",,
84,"(J11, 2, 1)",,
85,"(J10, 0, 2)",,
86,"(J11, 1, 1)",,
87,"(J10, 1, 2)",,
88,"(J11, 2, 2)",,
89,"(J10, 0, 3)",,
90,"(J11, 1, 2)",,
91,"(J10, 1, 3)",,
92,"(J11, 2, 3)",,
93,"(J10, 0, 4)",,
94,"(J11, 1, 3)",,
95,"(J10, 1, 4)",,
96,"(J11, 2, 4)",,
97,"(J10, 0, 5)",,
98,"(J11, 1, 4)",,
98(-),"(J11, 2, 5)",,
